rsi_9,rsi_14,sma_5,sma_spread,cruce_sma,breakout,rsi_reversion,racha_actual,payout,puntaje_estrategia,volatilidad,es_rebote,hora_bucket,result_bin
81.11,69.9,1429.492,0.009408131871313475,0.6468659332989403,0.3446405056969475,0.46028571428571424,-1.0,0.9550000000000001,0.43539049607692565,0.3136209651117263,0.13007142857142856,0.7446808510638298,1
80.96,69.73,1429.458,0.009390181900350243,0.6466959404081378,0.34397436760436373,0.4559999999999998,-1.0,0.9550000000000001,0.43423575607999226,0.31312796879767446,0.12899999999999995,0.7446808510638298,1
82.09,71.03,1429.73,0.009533775634996753,0.6480403411111839,0.3490912685561691,0.4882857142857144,-1.0,0.9550000000000001,0.4429888340035871,0.3170618810867204,0.1370714285714286,0.7446808510638298,0
73.99,75.4,1430.41,0.0069569226924506315,0.6169728882582466,0.3166090646318912,0.2971428571428573,1.0,0.95,0.38178531111377095,0.24291285077395675,0.08928571428571433,0.7446808510638298,1
75.37,76.09,1430.574,0.00704330695774261,0.6183179703638721,0.32089253848618765,0.31685714285714295,1.0,0.95,0.3875298528671807,0.2455243530074832,0.09421428571428574,0.7446808510638298,1
74.6,75.7,1430.48,0.006993794635157594,0.6175503649048224,0.3184804222552488,0.30571428571428577,1.0,0.95,0.3842820524501076,0.24402863870593916,0.09142857142857144,0.7446808510638298,1
75.84,76.33,1430.634,0.007074909711396639,0.6188032833156484,0.32238234831160156,0.3237142857142857,-1.0,0.9550000000000001,0.3897016732172208,0.2464774907653985,0.09592857142857142,0.7446808510638298,1
76.8,76.84,1430.764,0.007143380054849222,0.6198425855555387,0.3254975467024521,0.33828571428571436,-2.0,0.9550000000000001,0.39605491316221736,0.24853842501986279,0.11457142857142859,0.7446808510638298,1
75.84,76.33,1430.634,0.007074909711396639,0.6188032833156484,0.32238234831160156,0.3237142857142857,-2.0,0.9550000000000001,0.3918016732172208,0.2464774907653985,0.11092857142857142,0.7446808510638298,1
99.99,47.51,9564.7,0.00024355884121262202,0.10476797604514601,0.11120325835367033,0.9997142857142856,1.0,0.95,0.36244236829811666,0.009695050659978777,0.2649285714285714,0.7446808510638298,1
99.99,47.06,9564.664,0.0002407355002880186,0.1037214586513231,0.11161087381108004,0.9997142857142856,1.0,0.95,0.36232194492472497,0.009583205604910883,0.2649285714285714,0.7446808510638298,1
71.16,78.93,1436.91,0.008089778227404584,0.6326875895017987,0.3303706964813153,0.3980000000000002,1.0,0.95,0.4125986191528563,0.27645398117679987,0.11450000000000005,0.7446808510638298,0
54.45,54.23,839164.4400000001,0.0007881415361471279,0.2583346103255816,0.08957641197167956,0.043399999999999994,2.0,0.95,0.13616478925605313,0.031033908936210275,0.04085,0.7446808510638298,1
54.31,54.13,839161.792,0.0007857736514248083,0.2578252830070268,0.08903069588288028,0.04220000000000002,2.0,0.95,0.13566660950330425,0.030942128589634188,0.04055,0.7446808510638298,1
55.3,54.84,839179.8300000001,0.0008019034507588385,0.26127402861786586,0.09284534678808509,0.0507,2.0,0.95,0.13914937697932658,0.031567155297201444,0.042675,0.7446808510638298,1
43.96,44.01,273853.62,0.0008239162384304583,0.5159033783593638,0.097356553461048,0.06015,-1.0,0.9550000000000001,0.19004794472794764,0.03241949625750806,0.0300375,0.7659574468085106,0
42.48,43.33,273843.446,0.000851764611533644,0.5216357987178148,0.1026699512052563,0.07095000000000003,3.0,0.95,0.1989111553216803,0.033496717883747085,0.0627375,0.7659574468085106,0
